Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
2008.01,954.208174712349,
2008.02,949.651161556666,
2008.03,1031.85537601672,
2008.04,1025.29488600795,
2008.05,1015.54576598796,
2008.06,1006.38778564637,
2008.07,1000.58308276707,
2008.08,998.487303230728,
2008.09,996.993263233783,
2008.10,992.034071221677,
2008.11,988.278633815493,
2008.12,985.421866754506,
2009.01,979.155503231301,
2009.02,1093.73614500754,
2009.03,1091.55190002127,
2009.04,1085.58189220718,
2009.05,1079.10580950347,
2009.06,1074.59442970562,
2009.07,1072.12886264834,
2009.08,1071.27225322119,
2009.09,1069.55965187607,
2009.10,1066.99925942527,
2009.11,1063.06631219904,
2009.12,1060.51975786925,
2010.01,1153.00352667085,
2010.02,1144.98981449996,
2010.03,1136.91808379379,
2010.04,1128.67995990101,
2010.05,1123.84602427452,
2010.06,1125.08487649502,
2010.07,1125.8724211421,
2010.08,1126.66106910333,
2010.09,1120.60915868607,
2010.10,1110.39313705246,
2010.11,1099.07272222544,
2010.12,1092.51713284169,
2011.01,1146.00998570038,
2011.02,1139.85317054806,
2011.03,1142.8639468302,
2011.04,1134.69266951363,
2011.05,1128.26178119405,
2011.06,1125.78418042422,
2011.07,1125.78418042422,
2011.08,1121.07688611944,
2011.09,1116.05281236956,
2011.10,1112.49258841886,
2011.11,1106.18940560606,
2011.12,1100.5766707544,
2012.01,1249.69795029166,
2012.02,1244.84406003705,
2012.03,1242.60865852038,
2012.04,1234.70358350123,
2012.05,1227.95104488623,
2012.06,1224.77135856977,
2012.07,1219.52636896006,
2012.08,1214.06441006711,
2012.09,1206.46092385753,
2012.10,1197.9583966063,
2012.11,1191.52320908514,
2012.12,1182.77056959896,
2013.01,1277.50444488898,
2013.02,1270.89447164179,
2013.03,1263.31541715901,
2013.04,1255.90525286268,
2013.05,1251.52427960743,
2013.06,1248.0284381677,
2013.07,1249.65326744608,
2013.08,1247.65782742111,
2013.09,1244.29665056854,
2013.10,1236.75271316028,
2013.11,1230.11108714077,
2013.12,1221.31593119381,
